linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
907,189988249,CGH TIGRE PRETO,data_validade,Licença vencida em 2023-08-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
909,157629034,CGH TIGRE PRETO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
911,137626357,CGH TORRE DE PEDRA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
913,83438932,CGH TRÊS CAPÕES,data_validade,Licença vencida em 2007-11-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
913,83438932,CGH TRÊS CAPÕES,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
914,96192983,CGH TRÊS CAPÕES,data_validade,Licença vencida em 2011-10-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
914,96192983,CGH TRÊS CAPÕES,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
915,78822970,CGH TRÊS CAPÕES,data_validade,Licença vencida em 2018-11-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
915,78822970,CGH TRÊS CAPÕES,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
916,154261958,CGH TRÊS CAPÕES,data_validade,Licença vencida em 2021-12-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
916,154261958,CGH TRÊS CAPÕES,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
917,186072057,CGH TRÊS PALMEIRAS,data_validade,Licença vencida em 2025-01-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
919,158249766,CGH TRÊS PEDRAS,data_validade,Licença vencida em 2023-04-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
921,183176706,CGH TRICOLOR VI,data_validade,Licença vencida em 2024-07-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
922,52291950,CGH TUNEIRAS II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
923,187818443,CGH TURVO,data_validade,Licença vencida em 2024-10-27,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
925,182569623,CGH UBIRATA,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
927,180758364,CGH UNIÃO,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
928,142689090,CGH USINA DE BAIXO,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
928,142689090,CGH USINA DE BAIXO,latitude/longitude,Mesma coordenada usada por 3 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
929,142689260,CGH USINA DE CIMA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
930,77783349,CGH USINA DE CIMA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
931,195145172,CGH USINA DE CIMA (SANFRANCESCO),tipologia/potencia,Potência 0.5 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
931,195145172,CGH USINA DE CIMA (SANFRANCESCO),latitude/longitude,Mesma coordenada usada por 3 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
932,135841889,CGH USINA VELHA,data_validade,Licença vencida em 2022-01-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
932,135841889,CGH USINA VELHA,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
933,191852532,CGH USINA VELHA,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
935,182359530,CGH VEGA,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
936,140716995,CGH VEGA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
940,184323974,CGH VICENTINA,data_validade,Licença vencida em 2023-08-31,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
942,180758461,CGH VILA LOBOS,data_validade,Licença vencida em 2023-09-28,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
943,172922341,CGH VILA LOBOS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
945,156976156,CGH VILA NOVA,data_validade,Licença vencida em 2021-11-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
946,164210766,CGH VILA NOVA,data_validade,Licença vencida em 2023-06-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
947,175319042,CGH VILA NOVA,data_validade,Licença vencida em 2022-06-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
950,121133172,CGH VITÓRIA DO VERDE,data_validade,Licença vencida em 2017-08-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
951,141606344,CGH VITÓRIA DO VERDE,data_validade,Licença vencida em 2020-02-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
952,161579688,CGH VITÓRIA DO VERDE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
954,83670410,CGH VOLTA GRANDE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
955,182127590,CGH WARMLING,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
956,187839947,CGH WARMLING,data_validade,Licença vencida em 2025-10-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
