linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
1120,119967260,PCH CIANORTE,data_validade,Licença vencida em 2019-08-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1122,188049141,PCH CINCO CANTOS,data_validade,Licença vencida em 2023-06-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1123,138440796,PCH CINCO CANTOS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1125,136675230,PCH CLAIRTO ZONTA,data_validade,Licença vencida em 2018-01-27,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1126,147301782,PCH CLAIRTO ZONTA,data_validade,Licença vencida em 2019-12-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1128,131802200,PCH COBRE KM 19,data_validade,Licença vencida em 2018-01-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1129,142508745,PCH COBRE KM 19,data_validade,Licença vencida em 2020-10-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1130,166696852,PCH COBRE KM 19,data_validade,Licença vencida em 2024-08-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1131,205585605,PCH COBRE KM 19,data_validade,Licença vencida em 2026-04-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1133,88741331,PCH CONFLUÊNCIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1134,73734479,PCH CONFLUÊNCIA,data_validade,Licença vencida em 2014-01-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1135,116680432,PCH CONFLUÊNCIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1136,130347363,PCH CONFLUÊNCIA,data_validade,Licença vencida em 2023-12-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1139,23.510.661-2,PCH CONFLUÊNCIA,data_validade,Licença vencida em 2026-03-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1141,143708390,PCH COQUEIRO,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
